,Event.Id,Number.of.Engines,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Uninjured,Purpose.of.flight,Weather.Condition,Aircraft_Model
19089,20190107X33741,1.0,Non-Fatal,0,0,4.0,Personal,VMC,CESSNA T210
19090,20190108X53436,1.0,Non-Fatal,0,0,5.0,Skydiving,,CESSNA 182
19091,20190122X30147,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,PIPER PA28
19092,20190417X55930,,Non-Fatal,0,0,2.0,,,CIRRUS SR22
19093,20190107X55813,1.0,Fatal,2,0,0.0,Personal,VMC,BELLANCA 1730
19094,20190108X15531,1.0,Fatal,2,0,0.0,Personal,IMC,BEECH A36
19095,20190208X10711,2.0,,0,0,0.0,,VMC,AIRBUS A320
19096,20190110X01449,,Fatal,2,0,0.0,Personal,,PIPER PA28R
19097,20190111X94854,1.0,Non-Fatal,0,0,2.0,Personal,VMC,CESSNA T210
19098,20190112X63300,2.0,Non-Fatal,0,0,9.0,Business,VMC,CANADAIR CL 600 2A12
19099,20190112X64707,1.0,Fatal,1,0,0.0,Personal,VMC,VANS RV8
19100,20190129X43210,1.0,Fatal,1,0,0.0,,,PIPER PA25
19101,20190113X75353,1.0,Fatal,1,0,0.0,Personal,Unk,PIPER PA22
19102,20190113X82653,1.0,Non-Fatal,0,1,0.0,Personal,VMC,BEECH 35
19103,20190113X85423,1.0,Non-Fatal,0,2,0.0,Personal,VMC,PIPER PA-32R-300
19104,20190114X05720,1.0,Fatal,1,0,0.0,Personal,VMC,PIPER PA28
19105,20190115X54005,1.0,Non-Fatal,0,0,1.0,Personal,VMC,PIPER PA28
19106,20190119X92554,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CHAMPION 7GCBC
19107,20190117X24841,2.0,Fatal,1,0,0.0,Personal,VMC,PIPER PA23
19108,20190118X92207,1.0,Fatal,1,0,0.0,Personal,VMC,BEECH 36
19109,20190118X25853,1.0,Non-Fatal,0,1,0.0,Personal,VMC,ROBERT R. REILAND RANS
19110,20190119X05628,1.0,Non-Fatal,0,1,0.0,Personal,VMC,PIPER PA24
19111,20190119X83245,,Non-Fatal,0,2,0.0,Personal,VMC,CHAMPION 7ECA
19112,20190119X90641,1.0,Non-Fatal,0,1,1.0,Personal,VMC,RUTAN VARIEZE
19113,20190119X93201,,Non-Fatal,0,0,1.0,Personal,VMC,HILL GROUP LLC CCX-2000
19114,20190121X01656,1.0,Non-Fatal,0,3,0.0,Personal,VMC,STINSON 108
